PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;OPLEIDINGSFASE ACTUEEL;2014 Man;2014 Vrouw;2015 Man;2015 Vrouw;2016 Man;2016 Vrouw;2017 Man;2017 Vrouw;2018 Man;2018 Vrouw
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80009;Ad Tourism Management;voltijd onderwijs;associate degree;5;22;4;20;3;26;16;60;12;69
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80010;Ad Small Business en Retail Management;duaal onderwijs;associate degree;114;56;108;53;93;45;119;46;136;61
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80010;Ad Small Business en Retail Management;voltijd onderwijs;associate degree;30;31;31;29;46;18;39;25;38;18
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80040;Ad Leisure & Events Management;deeltijd onderwijs;associate degree;0;0;0;0;0;0;2;2;2;5
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80040;Ad Leisure & Events Management;duaal onderwijs;associate degree;1;2;1;1;0;1;0;0;0;0
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80040;Ad Leisure & Events Management;voltijd onderwijs;associate degree;36;83;37;89;32;76;29;73;25;75
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80041;Ad Hotel Management;deeltijd onderwijs;associate degree;0;0;0;0;0;0;0;0;0;1
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80041;Ad Hotel Management;duaal onderwijs;associate degree;28;37;29;40;37;48;30;52;31;50
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80041;Ad Hotel Management;voltijd onderwijs;associate degree;47;69;53;76;57;76;59;85;62;93
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80065;Ad Bedrijfseconomie;deeltijd onderwijs;associate degree;24;28;12;12;9;3;7;0;3;0
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80065;Ad Bedrijfseconomie;voltijd onderwijs;associate degree;49;21;35;19;42;19;47;22;34;24
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80103;Ad Commerciele Economie;voltijd onderwijs;associate degree;37;18;54;18;50;26;48;25;50;18
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80115;Ad Logistiek en Economie;duaal onderwijs;associate degree;12;2;20;1;26;2;27;1;33;3
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80150;Ad Online Contentcreator;voltijd onderwijs;associate degree;0;0;0;0;0;0;0;0;5;7
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80151;Ad Creative Media Professional;voltijd onderwijs;associate degree;0;0;0;0;0;0;0;0;5;3
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80073;Ad Human Resource Management;deeltijd onderwijs;associate degree;14;11;14;17;15;19;13;30;12;35
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80073;Ad Human Resource Management;voltijd onderwijs;associate degree;32;60;24;59;28;49;23;41;18;52
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80137;Ad Service, Welzijn & Zorg;deeltijd onderwijs;associate degree;0;0;0;0;0;0;2;16;1;35
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);80024;Ad IT Service Management;deeltijd onderwijs;associate degree;6;2;5;3;4;2;2;1;0;0
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);80024;Ad IT Service Management;voltijd onderwijs;associate degree;9;0;11;0;12;0;7;2;6;0
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);80067;Ad Maritieme Techniek;voltijd onderwijs;associate degree;14;0;10;0;6;0;5;0;6;1
Friesland;80;LEEUWARDEN;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);80071;Ad ICT-Beheer;voltijd onderwijs;associate degree;24;3;27;0;23;0;15;2;14;0
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);30029;B International Business;voltijd onderwijs;bachelor;151;172;174;179;151;170;186;159;157;148
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);30029;B International Business;voltijd onderwijs;propedeuse bachelor;168;127;178;121;186;155;186;162;188;155
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34035;B Bedrijfskunde;deeltijd onderwijs;bachelor;39;30;36;17;30;12;19;15;17;13
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34035;B Bedrijfskunde;deeltijd onderwijs;propedeuse bachelor;17;8;15;6;30;15;34;21;43;28
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;bachelor;140;102;160;108;158;95;155;86;134;76
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;propedeuse bachelor;119;63;95;58;106;54;103;59;120;53
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;deeltijd onderwijs;bachelor;11;10;8;7;5;5;4;5;3;2
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;deeltijd onderwijs;propedeuse bachelor;10;3;3;1;1;0;0;0;0;0
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;bachelor;278;195;292;169;278;151;261;115;244;99
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;propedeuse bachelor;202;74;174;63;143;43;138;45;153;55
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34405;B Communicatie;deeltijd onderwijs;bachelor;2;11;1;11;0;9;2;9;2;5
